   vsn    | size  | free  | location |  modified  |   ship   | transit 
----------+-------+-------+----------+------------+----------+---------
 JOD-0036 |  3200 |  3200 | ke       | 2018-11-02 |          | f
 HOB+0072 |  8000 |  7999 | ke       | 2018-10-31 |          | f
 USN-0147 |  4000 |  4000 | ke       | 2019-09-07 | URV76384 | f
 USN-0197 |  2000 |  2000 | ke       | 2019-09-13 | Mick     | f
 USN-0036 |  4000 |  4000 | ke       | 2019-06-08 | URV76354 | f
 HOB+0114 | 16000 | 16001 | ke       | 2019-07-26 | URV76371 | f
 USN-0097 |  4000 |  4000 | ke       | 2019-09-07 | URV76384 | f
 HOB+0059 |  8000 |  8000 | ke       | 2019-07-26 | URV76371 | f
 HOB+0102 | 16000 | 16001 | ke       | 2019-09-07 | URV763   | f
 NRAO-175 |  2400 |  2400 | ke       | 2019-04-23 | Mick     | f
 USN-0194 |  2000 |  2000 | ke       | 2019-08-07 | URV76373 | f
 USN-0017 |  4000 |  4000 | ke       | 2019-06-08 | URV76354 | f
 HAY-0144 |  4000 |  4000 | ke       | 2019-07-26 | URV76371 | f
 UAO-0014 |  2000 |  2000 | ke       | 2019-09-13 | URV76392 | f
 TR-00020 |  2000 |  2000 | ke       | 2019-10-09 | Mick     | f
 BKG-0049 |  2000 |    11 | ke       | 2019-09-07 | URV76384 | f
 HOB+0121 | 32000 | 22312 | ke       | 2019-09-07 | URV76384 | f
 USN-0130 |  4000 |  4000 | ke       | 2019-08-07 | URV76373 | f
 NOT-0001 |   960 |   960 | ke       | 2019-05-07 | URV76346 | f
 USN-0062 |  4000 |  4000 | ke       | 2019-09-13 | URV76392 | f
 HAY-0028 |   960 |   960 | ke       | 2019-05-17 | URV76349 | f
 MED-0038 |  3200 |  3200 | ke       | 2019-05-17 | URV76349 | f
 BKG+0138 |  2000 |  1400 | ke       | 2019-09-21 | Mick     | f
 BKG-0043 |  2000 |  2000 | ke       |            |          | f
 HOB+0099 | 16000 | 16001 | ke       | 2019-07-01 | URV76362 | f
(25 rows)

   vsn    | size  | free  | location |  modified  |       ship        | transit 
----------+-------+-------+----------+------------+-------------------+---------
 HOB+0120 | 16000 |  6029 | ho       | 2019-06-03 | 8225236585        | f
 PKS+0034 |  8000 |  2000 | ho       | 2018-10-11 |                   | f
 HOB+0123 | 32000 | 22775 | ho       | 2018-10-11 |                   | f
 HOB+0094 | 16000 |  3155 | ho       | 2018-10-11 |                   | f
 HOB+0130 | 32000 |  3330 | ho       | 2018-10-11 |                   | f
